slug,source_var,label,n_answers,non_missing_%,drop
climate,WP20719,Climate change a threat to country (next 20 yrs),5,100.0,
food,WP20720,Worried food could cause serious harm,5,100.0,
water,WP20721,Worried water could cause serious harm,5,100.0,
crime,WP20722,Worried violent crime could cause serious harm,5,100.0,
weather,WP20723,Worried severe weather could cause serious harm,5,100.0,
mental_health,WP20726,Worried mental health could cause serious harm,5,100.0,
traffic,WP22213,Worried traffic could cause serious harm,5,100.0,
work,WP22214,Worried work could cause serious harm,5,60.7,
exp_food,WP22442,Experienced harm: eating food,6,100.0,
exp_water,WP22443,Experienced harm: drinking water,6,100.0,
exp_crime,WP22444,Experienced harm: violent crime,6,100.0,
exp_weather,WP22445,Experienced harm: severe weather,6,100.0,
exp_traffic,WP22446,Experienced harm: traffic,6,100.0,
exp_mental_health,WP22447,Experienced harm: mental health,6,100.0,
exp_work,WP22448,Experienced harm: work,6,100.0,
govt_cares,WP22231,Government cares about your wellbeing,5,93.2,
authorities_care,WP22469,Authorities care about your wellbeing,5,0.8,
neighbours_care,WP22232,Neighbours care about your wellbeing,5,100.0,
could_protect,WP22252,Could protect self/family in a future disaster,5,100.0,
fin_res,WP22228,Cover basic needs a month+ if income lost,4,100.0,
disc_skin,WP22259,Experienced discrimination: skin colour,5,95.6,
disc_religion,WP22260,Experienced discrimination: religion,5,94.8,
disc_nationality,WP22261,Experienced discrimination: nationality / ethnicity,5,94.8,
disc_gender,WP22262,Experienced discrimination: gender,5,95.6,
disc_disability,WP22263,Experienced discrimination: disability,5,95.6,
greatest,WP22331,Greatest source of risk to daily safety,25,97.2,
safer_5yr,WP20711,Feel safer than five years ago,5,97.2,
wp22222,WP22222,"Used Internet, Including Social Media, in Past 30 Days",4,100.0,
wp22223,WP22223,Worry About Personal Information: Being Stolen,5,70.3,
wp22224,WP22224,Worry About Personal Information: Being Used by Government,5,67.3,
wp22225,WP22225,Worry About Personal Information: Being Used by Companies,5,70.3,
wp22226,WP22226,Feel Safe in Car Driven by Computer Without a Human Driver,4,100.0,
wp22227,WP22227,Artificial Intelligence Will Help or Harm People in Next 20 Years,6,100.0,
wp22229,WP22229,Household Could Cover Basic Needs If Income Was Lost: Weeks,5,28.3,
wp22230,WP22230,Household Could Cover Basic Needs If Income Was Lost: Months,6,64.3,
wp22233,WP22233,Look to National Weather Service for Information About Disaster,5,97.2,
wp22234,WP22234,Look to Disaster Management Agency for Information About Disaster,5,96.4,
wp22235,WP22235,Look to Local News for Information About Disaster,5,97.2,
wp22236,WP22236,Look to Local Religious Leaders for Information About Disaster,5,96.4,
wp22237,WP22237,Look to Famous Person for Information About Disaster,5,97.2,
wp22238,WP22238,Look to Emergency Services for Information About Disaster,5,97.2,
wp22239,WP22239,Look to Internet/Social Media for Information About Disaster,5,97.2,
wp22240,WP22240,Trust Most to Provide Information About a Disaster,11,85.6,
wp22241,WP22241,Well Prepared to Deal With a Disaster: The National Government,5,94.8,
wp22242,WP22242,Well Prepared to Deal With a Disaster: Hospitals,5,97.2,
wp22243,WP22243,Well Prepared to Deal With a Disaster: You and Your Family,5,97.2,
wp22244,WP22244,Well Prepared to Deal With a Disaster: Local Government,5,95.6,
wp22245,WP22245,Experienced a Disaster in Past Five Years,4,100.0,
wp22247,WP22247,Type of Disaster Experienced in Past Five Years (Coded),14,24.5,
wp22248,WP22248,Received Warning About Disaster From Internet/Social Media,5,23.7,
wp22249,WP22249,Received Warning About Disaster From Local Government or Police,5,23.7,
wp22250,WP22250,"Received Warning About Disaster From Radio, TV, or Newspapers",5,23.7,
wp22251,WP22251,Received Warning About Disaster From Local Community Organization,5,23.7,
wp22253,WP22253,Plan for Future Disaster Known by All Household Members,4,100.0,
wp22254,WP22254,Happened for More Than a Day: Gone Without Electricity,5,100.0,
wp22255,WP22255,Happened for More Than a Day: Been Without Clean Drinking Water,5,100.0,
wp22256,WP22256,Happened for More Than a Day: Been Unable to Obtain Food,5,100.0,
wp22257,WP22257,Happened for More Than a Day: Unable to Obtain Medical Help/Medicine,5,100.0,
wp22258,WP22258,Happened for More Than a Day: Been Unable to Access a Telephone,5,100.0,
wp22400,WP22400,Ever Experienced Physical Violence/Harassment at Work,5,95.6,
wp22513,WP22513,Ever Experienced Physical Violence/Harassment at Work (e.g. Hitting/Restraining),5,1.6,
wp22401,WP22401,How Many Times You Experienced Physical Violence/Harassment at Work,5,5.9,
wp22402,WP22402,Last Time You Experienced Physical Violence/Harassment at Work,5,5.9,
wp22403,WP22403,Ever Experienced Psychological Violence/Harassment at Work,5,88.4,
wp22500,WP22500,Ever Experienced Someone Psychologically Hurting You at Work,5,2.8,
wp22404,WP22404,How Many Times You Experienced Psychological Violence/Harassment at Work,5,15.8,
wp22405,WP22405,Last Time You Experienced Psychological Violence/Harassment at Work,5,15.8,
wp22406,WP22406,Ever Experienced Sexual Violence/Harassment at Work,5,83.5,
wp22503,WP22503,Ever Experienced Unwanted Intimate Physical Contact at Work,5,5.1,
wp22407,WP22407,How Many Times You Experienced Sexual Violence/Harassment at Work,5,4.2,
wp22408,WP22408,Last Time You Experienced Sexual Violence/Harassment at Work,5,4.2,
wp22409,WP22409,Told Someone About Violence/Harassment Experienced at Work,4,19.3,
wp22410,WP22410,Told Your Employer or Supervisor About Violence/Harassment Experienced at Work,4,11.2,
wp22411,WP22411,Told Co-worker About Violence/Harassment Experienced at Work,4,11.2,
wp22412,WP22412,Told Friend or Family About Violence/Harassment Experienced at Work,4,11.2,
wp22413,WP22413,Told a Trade Union Representative About Violence/Harassment Experienced at Work,4,11.2,
wp22421,WP22421,Told Police/Community Leader/Labor Inspector About Violence/Harassment Experienced at Work,4,11.2,
wp22414,WP22414,Told Social Services or Not-For-Profit Organization About Violence/Harassment Experienced at Work,4,11.2,
wp22415,WP22415,Reason You Did Not Tell Someone About Violence/Harassment Experienced at Work: Thought it Was a Waste of Time,4,8.0,
wp22416,WP22416,Reason You Did Not Tell Someone About Violence/Harassment Experienced at Work: You Did Not Know What to Do,4,8.0,
