slug,source_var,label,n_answers,non_missing_%,drop
climate_2019,L5,Climate change a threat to country,5,100.0,
food_2019,L6A,Worried food could cause harm,5,100.0,
water_2019,L6B,Worried water could cause harm,5,100.0,
crime_2019,L6C,Worried violent crime could cause harm,5,100.0,
weather_2019,L6D,Worried severe weather could cause harm,5,100.0,
power_2019,L6E,Worried electrical power lines,5,100.0,
mental_2019,L6G,Worried mental health,5,100.0,
exp_crime_2019,L8C,Experienced harm: violent crime,4,100.0,
exp_mental_2019,L8G,Experienced harm: mental health,4,100.0,
likely_crime_2019,L7C,Likely violent crime harm next 2 yrs,5,99.3,
likely_mental_2019,L7G,Likely mental-health harm next 2 yrs,5,99.3,
likely_traffic_2019,L9A,Likely traffic-accident harm next 2 yrs,13,99.3,
worry_index,Worried.Index,Worry Index (0–100),0,87.8,
wp14,WP14,Urban/Rural,6,100.0,
l1,L1,"When Hear The Word Risk, Think More About Opportunity or Danger",6,100.0,
l2,L2,"Feel More Safe, Less Safe or About as Safe Compared to Five Years Ago",5,100.0,
l3_a,L3_A,Greatest Source of Risk to Safety in Your Daily Life (Coded Response),21,100.0,
l3_b,L3_B,Another Major Source of Risk to Safety In Your Daily Life (Coded Response),21,80.0,
l4a,L4A,Help or Harm People in Country in Next 20 Years: Genetically-Modified Food,6,100.0,
l4b,L4B,Help or Harm People in Country in Next 20 Years: Use of Nuclear Power for Electricity,6,100.0,
l4c,L4C,Help or Harm People in Country in Next 20 Years: Artificial Intelligence,6,100.0,
l6f,L6F,Worked Household Appliances Could Cause You Serious Harm,5,100.0,
l7a,L7A,How Likely Food You Eat Could Cause you Serious Harm in Next Two Years,5,99.3,
l7b,L7B,How Likely Water You Drink Could Cause You Serious Harm in Next Two Years,5,99.3,
l7d,L7D,How Likely Severe Weather Events Could Cause You Serious Harm in Next Two Years,5,99.3,
l7e,L7E,How Likely Electrical Power Lines Could Cause You Serious Harm in Next Two Years,5,99.3,
l7f,L7F,How Likely Household Appliances Could Cause You Serious Harm in Next Two Years,5,99.3,
l8a,L8A,Experienced Serious Harm From Eating Food in Past Two Years,4,100.0,
l8b,L8B,Experienced Serious Harm From Drinking Water in Past Two Years,4,100.0,
l8d,L8D,Experienced Serious Harm From Severe Weather Events in Past Two Years,4,100.0,
l8e,L8E,Experienced Serious Harm From Electrical Power Lines in Past Two Years,4,100.0,
l8f,L8F,Experienced Serious Harm From Household Appliances in Past Two Years,4,100.0,
l9b,L9B,How Likely You Are to Be Physically Attacked by Someone in Next Two Years,13,99.3,
l9c,L9C,How Likely You Are to Be in an Airplane Accident in Next Two Years,13,99.3,
l9d,L9D,How Likely You Are to Drown in Next Two Years,13,99.3,
l9e,L9E,How Likely You Are to be Struck by Lightning in Next Two Years,13,99.3,
l10,L10,Wear a Seatbelt in a Motorized Vehicle When One is Available,4,100.0,
l11,L11,Able to Swim Without Assistance,4,100.0,
l12,L12,"10% is Bigger, Smaller or the Same as 1 out of 10",5,99.3,
l13a,L13A,Look to Friends or Family for Food Safety Information,5,100.0,
l13b,L13B,Look to Medical Professionals for Food Safety Information,5,100.0,
l13c,L13C,"Look to Newspapers, Television, or Radio for Food Safety Information",5,100.0,
l13d,L13D,Look to Internet/Social Media for Food Safety Information,5,100.0,
l13e,L13E,Look to (Food Safety Authority) for Food Safety Information,5,99.3,
l13f,L13F,Look to Packaging or Label on Food for Food Safety Information,5,100.0,
l13g,L13G,Look to a Famous Person for Food Safety Information,5,100.0,
l13h,L13H,Look to Local Religious Leaders for Food Safety Information,5,99.4,
l14,L14,Trust Most to Provide Information About Food Safety,12,95.7,
l15,L15,Government Should Require Businesses to Adopt Safety Procedures and Rules,4,98.6,
l16a,L16A,Government Does a Good Job Ensuring the Food You Buy is Safe,4,98.6,
l16b,L16B,Government Does a Good Job Ensuring the Water You Drink is Safe,4,98.6,
l16c,L16C,Government Does a Good Job Ensuring the Powerlines in the City or Area Where You Live are Safe,4,98.6,
l17a,L17A,How Likely a Neighbor Would be to Return a Small Bag of Great Financial Value to You if Found,5,100.0,
l17b,L17B,How Likely a Stranger Would be to Return a Small Bag of Great Financial Value to You if Found,5,100.0,
l17c,L17C,How Likely the Police Would be to Return a Small Bag of Great Financial Value to You if Found,5,97.9,
l18,L18,How Likely to be Injured While Working in Next Two Years,13,50.2,
l19,L19,Ever Been Seriously Injured While Working,4,53.5,
l20a,L20A,Risk to Personal Safety While Working: Operating Equipment or Heavy Machinery,4,53.5,
l20b,L20B,Risk to Personal Safety While Working: Fire,4,53.5,
l20c,L20C,Risk to Personal Safety While Working: Exposure to Chemical or Biological Substances,4,53.5,
l20d,L20D,Risk to Personal Safety While Working: Physical Harassment or Violence,4,53.1,
l20e,L20E,Risk to Personal Safety While Working: Tripping or Falling,4,53.5,
l21a,L21A,Experienced Injury or Harm While Working in Past Two Years: Operating Equipment or Heavy Machinery,4,53.5,
l21b,L21B,Experienced Injury or Harm While Working in Past Two Years: Fire,4,53.5,
l21c,L21C,Experienced Injury or Harm While Working in Past Two Years: Exposure to Chemicals or Biological Substances,4,53.5,
l21d,L21D,Experienced Injury or Harm While Working in Past Two Years: Physical Harassment or Violence,4,53.1,
l21e,L21E,Experienced Injury or Harm While Working in Past Two Years: Tripping or Falling,4,53.5,
l22,L22,Free To Report Safety Problems To Employer Without Fear of Punishment,4,31.9,
l23,L23,Who is Most Responsible for Your Safety While Working Other Than Yourself,6,31.9,
l24a,L24A,Care About Your Safety While Working: Your Co-workers,5,31.9,
l24b,L24B,Care About Your Safety While Working: Your Boss or Supervisor,5,31.9,
l24c,L24C,Care About Your Safety While Working: The Trade or Labour Union,5,30.4,
l25,L25,Safety Rules at Work Are Good or Make Job More Difficult,6,31.9,
l26,L26,"Used Internet, Including Social Media, in Past 30 Days",4,100.0,
l27a,L27A,Worry When Using the Internet or Social Media: Online Bullying,4,58.1,
l27b,L27B,Worry When Using the Internet or Social Media: Receiving False Information,4,58.1,
l27c,L27C,Worry When Using the Internet or Social Media: Fraud,4,58.1,
emp8b,EMP8B,Primary Occupation/Job Title (Coded Response),11,53.5,
